mid,retweeted_status_mid,uid,retweeted_uid,source,image,text,geo,created_at,deleted_last_seen,permission_denied
mJGNbfSp4Z,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:11:10,,
mRsOt0rv3D,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:10:04,,
mSazLITftQ,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:08:41,,
mgwtBZpx8T,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:08:24,,
mzHa6TEtpK,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:07:57,,
mgYsJw1jsv,mkbKhEry77,uFAWOLSN,,新浪微博,0,//@ukn：  转发微博,,2012-01-02 16:26:44,,
m4Yj7vY5ax,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:07:11,,
mgYsQMR9b5,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:06:51,,
m1QiClcwy,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:06:25,,
m2DimAixGa,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:05:51,,
mu9iNjah2T,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:05:29,,
m0idKKbCRL,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:05:11,,
mEmsdo5297,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:04:59,,
mdOFdHfOn8,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:04:41,,
mBcY8xFCOs,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:04:19,,
mP6R4ldXA9,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:03:56,,
mU5j8yp5uV,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:03:40,,
mL2uhOVlIs,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:03:26,,
m7dAib4CAP,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:03:05,,
m8E9ORZHWZ,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:02:21,,
m2X8buJlJQ,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:01:22,,
m3eHGMn584,,u0VP2NYGX,,新浪微博,1,分享图片,,2012-01-02 02:01:01,,
mU5j8K9fF9,,u0VP2NYGX,,新浪微博,1,#GIF#,,2012-01-02 02:00:44,,
mzHa6qUWrp,,u0VP2NYGX,,新浪微博,0,《走向海洋》真不错，求OST！,,2012-01-02 01:43:35,,
mgkujOoAh,,u0VP2NYGX,,新浪微博,1,#C81#Cosplay 速报第三辑 554P，下载：http://t.cn/SJuEx1 大家久等了,,2012-01-02 00:48:09,,
m2DiYli4ck,,uHJXSVDSV,,iPhone客户端,0,歐陽和虹原來都已經year 3了，她們未離開，我已感到不捨了，尤其是歐陽，最有趣的是，我與她們毫不熟悉，是這幾天才開始對話，只怪平常我太膽小，一個人站在一隅。,,2012-01-02 03:57:25,,
mGCSLu7jEX,,uHJXSVDSV,,iPhone客户端,0,今天發生了非常不愉快的事。還有，姿到底是個怎樣的人？,,2012-01-02 03:47:57,,
mPoMEQyrxf,,uS5WC5RUP,,新浪微博,1,雨后的地面，映照产生的美妙景象。,,2012-01-03 12:46:24,,
mH44L71VRC,,uS5WC5RUP,,定时showone,1,行走在屋顶的小猫。,,2012-01-02 18:57:03,,
munvz8sPav,,uS5WC5RUP,,定时showone,1,舞者。 ,,2012-01-02 15:56:00,,
muy8UOtpuM,,uS5WC5RUP,,定时showone,1,像孩子一样，永远相信希望，相信梦想。 ,,2012-01-02 11:55:01,,
mcrPGvUbRk,,uS5WC5RUP,,定时showone,1,为了生存，我变的很丑。,,2012-01-02 09:00:14,,
mZmwkMfKcq,,uJ2ORZ5BR,,2012版iPhone客户端,0,想著不可能發生的事。,,2012-01-02 17:36:05,,
mwQFQOJIbd,,uII5VLGFR,,iPhone客户端,1,刚刚下班 拖着疲惫不堪 的身体回家 好累,,2012-01-02 00:24:30,,
mTStCLOav7,,uLCMYWE14,,2012版iPhone客户端,1,成都也不是很冷。17号晚同学会狂欢同学们有的穿短裤短裙，有的穿短袖，气氛热烈犹如炽热的夏季，疯狂的唱歌疯狂的跳舞，这是一个狂欢之夜！i luck！,,2012-01-02 19:26:48,,
mA3a1OuEKh,,uLCMYWE14,,2012版iPhone客户端,1,朋友煮的家常菜,,2012-01-02 14:33:12,,
m5PYdmyEMn,,uLCMYWE14,,2012版iPhone客户端,1,分享图片,,2012-01-02 14:31:53,,
